agency_id,state_name,region_name,agency_type_name
19177,Texas,South,City
19086,Texas,South,City
19087,Texas,South,County
19088,Texas,South,City
19180,Texas,South,County
19182,Texas,South,County
19089,Texas,South,City
19091,Texas,South,City
19183,Texas,South,City
19093,Texas,South,County
19094,Texas,South,City
19184,Texas,South,County
19185,Texas,South,County
19187,Texas,South,County
19188,Texas,South,City
19190,Texas,South,City
19191,Texas,South,County
19192,Texas,South,City
19193,Texas,South,County
19095,Texas,South,University or College
19096,Texas,South,Other
19097,Texas,South,County
19194,Texas,South,City
19263,Texas,South,University or College
19195,Texas,South,City
19264,Texas,South,University or College
19265,Texas,South,City
19267,Texas,South,University or College
19268,Texas,South,Other
19270,Texas,South,University or College
19271,Texas,South,Other
19197,Texas,South,City
19273,Texas,South,City
19275,Texas,South,Other
19276,Texas,South,Other
19277,Texas,South,Other
19278,Texas,South,Other
19279,Texas,South,Other
19280,Texas,South,University or College
19281,Texas,South,Other
19198,Texas,South,City
19200,Texas,South,City
19201,Texas,South,City
19204,Texas,South,City
19205,Texas,South,City
19206,Texas,South,County
19282,Texas,South,County
19207,Texas,South,City
19283,Texas,South,City
19284,Texas,South,City
19208,Texas,South,City
19286,Texas,South,Other
19287,Texas,South,County
19288,Texas,South,County
19289,Texas,South,City
19291,Texas,South,County
19209,Texas,South,City
19292,Texas,South,City
19210,Texas,South,City
19211,Texas,South,County
19212,Texas,South,City
19214,Texas,South,City
19215,Texas,South,City
19293,Texas,South,University or College
19216,Texas,South,City
19294,Texas,South,City
19217,Texas,South,City
19295,Texas,South,City
19296,Texas,South,County
19298,Texas,South,County
19219,Texas,South,City
19221,Texas,South,City
19299,Texas,South,City
19301,Texas,South,City
19302,Texas,South,City
19305,Texas,South,City
19306,Texas,South,City
19308,Texas,South,County
19222,Texas,South,County
19223,Texas,South,City
19224,Texas,South,County
19225,Texas,South,City
19227,Texas,South,County
19229,Texas,South,City
19230,Texas,South,County
19233,Texas,South,County
19234,Texas,South,City
19235,Texas,South,City
19236,Texas,South,City
19237,Texas,South,City
19238,Texas,South,County
19309,Texas,South,City
19310,Texas,South,City
19312,Texas,South,City
19313,Texas,South,City
19314,Texas,South,City
19316,Texas,South,City
19317,Texas,South,City
19318,Texas,South,City
19319,Texas,South,City
19320,Texas,South,City
19321,Texas,South,City
19322,Texas,South,City
19324,Texas,South,City
19325,Texas,South,City
19327,Texas,South,Other
19329,Texas,South,City
19331,Texas,South,City
19332,Texas,South,County
19333,Texas,South,City
19335,Texas,South,City
19336,Texas,South,City
19338,Texas,South,County
19339,Texas,South,City
19341,Texas,South,University or College
19344,Texas,South,County
19345,Texas,South,City
19347,Texas,South,County
19349,Texas,South,City
19350,Texas,South,County
19351,Texas,South,City
19352,Texas,South,City
19353,Texas,South,County
19354,Texas,South,City
19355,Texas,South,County
19356,Texas,South,County
19358,Texas,South,City
19359,Texas,South,City
19361,Texas,South,University or College
19362,Texas,South,City
19367,Texas,South,County
19368,Texas,South,City
19369,Texas,South,City
19370,Texas,South,County
19371,Texas,South,County
19372,Texas,South,City
19373,Texas,South,County
19374,Texas,South,City
19375,Texas,South,City
19376,Texas,South,County
19377,Texas,South,City
19379,Texas,South,County
19380,Texas,South,County
19381,Texas,South,City
19382,Texas,South,City
19384,Texas,South,City
19386,Texas,South,City
19387,Texas,South,City
19388,Texas,South,University or College
19389,Texas,South,County
19390,Texas,South,County
19391,Texas,South,City
19394,Texas,South,County
19395,Texas,South,City
19396,Texas,South,City
19397,Texas,South,City
19398,Texas,South,City
19399,Texas,South,City
19400,Texas,South,City
19401,Texas,South,County
19403,Texas,South,City
19404,Texas,South,City
19406,Texas,South,County
19407,Texas,South,City
19408,Texas,South,City
19409,Texas,South,County
19410,Texas,South,City
19411,Texas,South,City
19412,Texas,South,City
19413,Texas,South,City
19414,Texas,South,City
19416,Texas,South,County
19417,Texas,South,City
19418,Texas,South,County
19420,Texas,South,County
19421,Texas,South,City
19422,Texas,South,City
19423,Texas,South,County
19424,Texas,South,City
19428,Texas,South,County
19429,Texas,South,City
19432,Texas,South,City
19434,Texas,South,County
19435,Texas,South,City
19436,Texas,South,University or College
19437,Texas,South,City
19438,Texas,South,County
19439,Texas,South,City
19440,Texas,South,City
19442,Texas,South,City
19443,Texas,South,County
19444,Texas,South,City
19446,Texas,South,City
19447,Texas,South,County
19449,Texas,South,County
19450,Texas,South,City
19451,Texas,South,City
19452,Texas,South,County
19453,Texas,South,City
19455,Texas,South,County
19456,Texas,South,County
19458,Texas,South,City
19459,Texas,South,City
19461,Texas,South,County
19462,Texas,South,City
19463,Texas,South,City
19465,Texas,South,County
19468,Texas,South,County
19469,Texas,South,City
19470,Texas,South,City
19471,Texas,South,County
19472,Texas,South,County
19473,Texas,South,City
19474,Texas,South,City
19239,Texas,South,City
19475,Texas,South,City
19476,Texas,South,City
19477,Texas,South,University or College
19478,Texas,South,City
19483,Texas,South,County
19484,Texas,South,City
19240,Texas,South,City
19486,Texas,South,County
19487,Texas,South,City
19241,Texas,South,City
19488,Texas,South,County
19243,Texas,South,City
19244,Texas,South,City
19489,Texas,South,City
19491,Texas,South,City
19245,Texas,South,City
19492,Texas,South,City
19246,Texas,South,City
19247,Texas,South,City
19493,Texas,South,City
19497,Texas,South,City
19248,Texas,South,City
19498,Texas,South,City
19249,Texas,South,City
19250,Texas,South,City
19251,Texas,South,City
19252,Texas,South,City
19499,Texas,South,City
19500,Texas,South,City
19254,Texas,South,City
19501,Texas,South,University or College
19503,Texas,South,University or College
19505,Texas,South,City
19507,Texas,South,County
19508,Texas,South,City
19255,Texas,South,City
19509,Texas,South,County
19511,Texas,South,County
19512,Texas,South,City
19513,Texas,South,County
19514,Texas,South,County
19256,Texas,South,City
19515,Texas,South,City
19257,Texas,South,City
19258,Texas,South,City
19516,Texas,South,City
19517,Texas,South,Other
19519,Texas,South,City
19259,Texas,South,City
19260,Texas,South,University or College
19520,Texas,South,County
19521,Texas,South,City
19522,Texas,South,City
19523,Texas,South,City
19526,Texas,South,County
19261,Texas,South,University or College
19527,Texas,South,City
19637,Texas,South,City
19638,Texas,South,City
19639,Texas,South,City
19640,Texas,South,County
19641,Texas,South,City
19642,Texas,South,City
19643,Texas,South,City
19644,Texas,South,County
19528,Texas,South,Other
19529,Texas,South,County
19530,Texas,South,City
19531,Texas,South,City
19532,Texas,South,City
19533,Texas,South,County
19645,Texas,South,City
19536,Texas,South,County
19537,Texas,South,City
19540,Texas,South,County
19646,Texas,South,City
19647,Texas,South,City
19648,Texas,South,County
19650,Texas,South,City
19651,Texas,South,County
19652,Texas,South,City
19655,Texas,South,City
19657,Texas,South,City
19658,Texas,South,City
19659,Texas,South,City
19661,Texas,South,Other
19663,Texas,South,City
19664,Texas,South,County
19665,Texas,South,County
19666,Texas,South,City
19668,Texas,South,County
19670,Texas,South,County
19671,Texas,South,City
19674,Texas,South,County
19675,Texas,South,City
19676,Texas,South,City
19678,Texas,South,City
19541,Texas,South,City
19542,Texas,South,City
19543,Texas,South,City
19544,Texas,South,City
19545,Texas,South,City
19546,Texas,South,City
19548,Texas,South,City
19549,Texas,South,City
19551,Texas,South,Other
19552,Texas,South,County
19553,Texas,South,City
19679,Texas,South,City
19680,Texas,South,University or College
19681,Texas,South,University or College
19682,Texas,South,University or College
19554,Texas,South,City
19555,Texas,South,City
19683,Texas,South,City
19685,Texas,South,County
19557,Texas,South,City
19686,Texas,South,County
19558,Texas,South,City
19687,Texas,South,City
19560,Texas,South,City
19688,Texas,South,City
19561,Texas,South,County
19562,Texas,South,County
19689,Texas,South,City
19690,Texas,South,Other
19691,Texas,South,County
19692,Texas,South,City
19563,Texas,South,City
19693,Texas,South,County
19695,Texas,South,County
19696,Texas,South,City
19697,Texas,South,County
19699,Texas,South,City
19700,Texas,South,County
19564,Texas,South,University or College
19565,Texas,South,County
19566,Texas,South,City
19567,Texas,South,City
19568,Texas,South,County
19569,Texas,South,County
19701,Texas,South,City
19570,Texas,South,City
19572,Texas,South,County
